"State Name","2013","2014","2015","2016","2017","2018","2019","2019 Factors","Population Delta","Population Percentage"
"Alabama","4799277","4817678","4830620","4841164","4850771","4864680","4876250","2 3 41 19891","0,18401,31343,41887,51494,65403,76973,93909","0.00%,0.38%,0.65%,0.87%,1.07%,1.36%,1.60%,1.96%"
"Alaska","720316","728300","733375","736855","738565","738516","737068","2 5 73699","0,7984,13059,16539,18249,18200,16752,16674","0.00%,1.11%,1.81%,2.30%,2.53%,2.53%,2.33%,2.31%"
"Arizona","6479703","6561516","6641928","6728577","6809946","6946685","7050299","2 2 2 2 448379","0,81813,162225,248874,330243,466982,570596,694361","0.00%,1.26%,2.50%,3.84%,5.10%,7.21%,8.81%,10.72%"
"Arkansas","2933369","2947036","2958208","2968472","2977944","2990671","2999370","17 23 7703","0,13667,24839,35103,44575,57302,66001,78504","0.00%,0.47%,0.85%,1.20%,1.52%,1.95%,2.25%,2.68%"
"California","37659181","38066920","38421464","38654206","38982847","39148760","39283497","3 587 22343","0,407739,762283,995025,1323666,1489579,1624316,1686842","0.00%,1.08%,2.02%,2.64%,3.51%,3.96%,4.31%,4.48%"
"Colorado","5119329","5197580","5278906","5359295","5436519","5531141","5610349","2 13 218651","0,78251,159577,239966,317190,411812,491020,565597","0.00%,1.53%,3.12%,4.69%,6.20%,8.04%,9.59%,11.05%"
"Connecticut","3583561","3592053","3593222","3588570","3594478","3581504","3575074","3 31 38393","0,8492,9661,5009,10917,-2057,-8487,-13012","0.00%,0.24%,0.27%,0.14%,0.30%,-0.06%,-0.24%,-0.36%"
"Delaware","908446","917060","926454","934695","943732","949495","957248","23 42073","0,8614,18008,26249,35286,41049,48802,59233","0.00%,0.95%,1.98%,2.89%,3.88%,4.52%,5.37%,6.52%"
"District of Columbia","619371","633736","647484","659009","672391","684498","692683","2 7 7 13 19 29","0,14365,28113,39638,53020,65127,73312,82603","0.00%,2.32%,4.54%,6.40%,8.56%,10.52%,11.84%,13.34%"
"Florida","19091156","19361792","19645772","19934451","20278447","20598139","20901636","2 2 3 3 3 196453","0,270636,554616,843295,1187291,1506983,1810480,2125768","0.00%,1.42%,2.91%,4.42%,6.22%,7.89%,9.48%,11.13%"
"Georgia","9810417","9907756","10006693","10099320","10201635","10297484","10403847","47 223757","0,97339,196276,288903,391218,487067,593430,706162","0.00%,0.99%,2.00%,2.94%,3.99%,4.96%,6.05%,7.20%"
"Hawaii","1376298","1392704","1406299","1413673","1421658","1422029","1422094","2 3 3 78893","0,16406,30001,37375,45360,45731,45796,43776","0.00%,1.19%,2.18%,2.72%,3.30%,3.32%,3.33%,3.18%"
"Idaho","1583364","1599464","1616547","1635483","1657375","1687809","1717750","3 584789","0,16100,33183,52119,74011,104445,134386,171003","0.00%,1.02%,2.10%,3.29%,4.67%,6.60%,8.49%,10.80%"
"Illinois","12848554","12868747","12873761","12851684","12854526","12821497","12770631","2 2 349 9109","0,20193,25207,3130,5972,-27057,-77923,-132390","0.00%,0.16%,0.20%,0.02%,0.05%,-0.21%,-0.61%,-1.03%"
"Indiana","6514861","6542411","6568645","6589578","6614418","6637426","6665703","7 956699","0,27550,53784,74717,99557,122565,150842,182032","0.00%,0.42%,0.83%,1.15%,1.53%,1.88%,2.32%,2.79%"
"Iowa","3062553","3078116","3093526","3106589","3118102","3132499","3139508","23 151 907","0,15563,30973,44036,55549,69946,76955,87458","0.00%,0.51%,1.01%,1.44%,1.81%,2.28%,2.51%,2.86%"
"Kansas","2868107","2882946","2892987","2898292","2903820","2908776","2910652","3 97 10009","0,14839,24880,30185,35713,40669,42545,44512","0.00%,0.52%,0.87%,1.05%,1.25%,1.42%,1.48%,1.55%"
"Kentucky","4361333","4383272","4397353","4411989","4424376","4440204","4449052","2 2 2 2 2 2 2 11 3169","0,21939,36020,50656,63043,78871,87719,100619","0.00%,0.50%,0.83%,1.16%,1.45%,1.81%,2.01%,2.31%"
"Louisiana","4567968","4601049","4625253","4645670","4663461","4663616","4664362","2 2 2 3 11 17669","0,33081,57285,77702,95493,95648,96394,96648","0.00%,0.72%,1.25%,1.70%,2.09%,2.09%,2.11%,2.12%"
"Maine","1328320","1328535","1329100","1329923","1330158","1332813","1335492","5 5 53633","0,215,780,1603,1838,4493,7172,12505","0.00%,0.02%,0.06%,0.12%,0.14%,0.34%,0.54%,0.94%"
"Maryland","5834299","5887776","5930538","5959902","5996079","6003435","6018848","2 2 2 754703","0,53477,96239,125603,161780,169136,184549,203325","0.00%,0.92%,1.65%,2.15%,2.77%,2.90%,3.16%,3.48%"
"Massachusetts","6605058","6657291","6705586","6742143","6789319","6830193","6850553","3 3 19 40193","0,52233,100528,137085,184261,225135,245495,267945","0.00%,0.79%,1.52%,2.08%,2.79%,3.41%,3.72%,4.06%"
"Michigan","9886095","9889024","9900571","9909600","9925568","9957488","9965265","919 10853","0,2929,14476,23505,39473,71393,79170,87812","0.00%,0.03%,0.15%,0.24%,0.40%,0.72%,0.80%,0.89%"
"Minnesota","5347740","5383661","5419171","5450868","5490726","5527358","5563378","2 3 11 13 61 107","0,35921,71431,103128,142986,179618,215638,252426","0.00%,0.67%,1.34%,1.93%,2.67%,3.36%,4.03%,4.72%"
"Mississippi","2976872","2984345","2988081","2989192","2986220","2988762","2984418","3 3 5 23 43 67","0,7473,11209,12320,9348,11890,7546,4963","0.00%,0.25%,0.38%,0.41%,0.31%,0.40%,0.25%,0.17%"
"Missouri","6007182","6028076","6045448","6059651","6075300","6090062","6104910","2 2 2 2 2 2 2 5 7 1367","0,20894,38266,52469,68118,82880,97728,116978","0.00%,0.35%,0.64%,0.87%,1.13%,1.38%,1.63%,1.95%"
"Montana","998554","1006370","1014699","1023391","1029862","1041732","1050649","5 59 59 61","0,7816,16145,24837,31308,43178,52095,63151","0.00%,0.78%,1.62%,2.49%,3.14%,4.32%,5.22%,6.32%"
"Nebraska","1841625","1855617","1869365","1881259","1893921","1904760","1914571","2 19 50627","0,13992,27740,39634,52296,63135,72946,82201","0.00%,0.76%,1.51%,2.15%,2.84%,3.43%,3.96%,4.46%"
"Nevada","2730066","2761584","2798636","2839172","2887725","2922849","2972382","31 239 409","0,31518,68570,109106,157659,192783,242316,300215","0.00%,1.15%,2.51%,4.00%,5.77%,7.06%,8.88%,11.00%"
"New Hampshire","1319171","1321069","1324201","1327503","1331848","1343622","1348124","2 2 3 11 10267","0,1898,5030,8332,12677,24451,28953,36073","0.00%,0.14%,0.38%,0.63%,0.96%,1.85%,2.19%,2.73%"
"New Jersey","8832406","8874374","8904413","8915456","8960161","8881845","8878503","2 3 1480903","0,41968,72007,83050,127755,49439,46097,53012","0.00%,0.48%,0.82%,0.94%,1.45%,0.56%,0.52%,0.60%"
"New Mexico","2069706","2080085","2084117","2082669","2084828","2092434","2092454","3 699007","0,10379,14411,12963,15122,22728,22748,27315","0.00%,0.50%,0.70%,0.63%,0.73%,1.10%,1.10%,1.32%"
"New York","19487053","19594330","19673174","19697457","19798228","19618453","19572319","163 119723","0,107277,186121,210404,311175,131400,85266,27796","0.00%,0.55%,0.96%,1.08%,1.60%,0.67%,0.44%,0.14%"
"North Carolina","9651380","9750405","9845333","9940828","10052564","10155624","10264876","10386227","0,99025,193953,289448,401184,504244,613496,734847","0.00%,1.03%,2.01%,3.00%,4.16%,5.22%,6.36%,7.61%"
"North Dakota","689781","704925","721640","736162","745475","752201","756717","2 380197","0,15144,31859,46381,55694,62420,66936,70613","0.00%,2.20%,4.62%,6.72%,8.07%,9.05%,9.70%,10.24%"
"Ohio","11549590","11560380","11575977","11586941","11609756","11641879","11655397","5 5 179 2609","0,10790,26387,37351,60166,92289,105807,125685","0.00%,0.09%,0.23%,0.32%,0.52%,0.80%,0.92%,1.09%"
"Oklahoma","3785742","3818851","3849733","3875589","3896251","3918137","3932870","2 59 33469","0,33109,63991,89847,110509,132395,147128,163600","0.00%,0.87%,1.69%,2.37%,2.92%,3.50%,3.89%,4.32%"
"Oregon","3868721","3900343","3939233","3982267","4025127","4081943","4129803","2 227 9199","0,31622,70512,113546,156406,213222,261082,307625","0.00%,0.82%,1.82%,2.93%,4.04%,5.51%,6.75%,7.95%"
"Pennsylvania","12731381","12758729","12779559","12783977","12790505","12791181","12791530","5 19 134683","0,27348,48178,52596,59124,59800,60149,63504","0.00%,0.21%,0.38%,0.41%,0.46%,0.47%,0.47%,0.50%"
"Rhode Island","1051695","1053252","1053661","1054491","1056138","1056611","1057231","2 7 75557","0,1557,1966,2796,4443,4916,5536,6103","0.00%,0.15%,0.19%,0.27%,0.42%,0.47%,0.53%,0.58%"
"South Carolina","4679602","4727273","4777576","4834605","4893444","4955925","5020806","17 299501","0,47671,97974,155003,213842,276323,341204,411915","0.00%,1.02%,2.09%,3.31%,4.57%,5.90%,7.29%,8.80%"
"South Dakota","825198","834708","843190","851058","855444","864289","870638","2 2 2 3 3 3 3 23 59","0,9510,17992,25860,30246,39091,45440,54138","0.00%,1.15%,2.18%,3.13%,3.67%,4.74%,5.51%,6.56%"
"Tennessee","6402387","6451365","6499615","6548009","6597381","6651089","6709356","2 2 1693067","0,48978,97228,145622,194994,248702,306969,369881","0.00%,0.76%,1.52%,2.27%,3.05%,3.88%,4.79%,5.78%"
"Texas","25639373","26092033","26538614","26956435","27419612","27885195","28260856","2 11 103 12637","0,452660,899241,1317062,1780239,2245822,2621483,2996069","0.00%,1.77%,3.51%,5.14%,6.94%,8.76%,10.22%,11.69%"
"Utah","2813673","2858111","2903379","2948427","2993941","3045350","3096848","3 7 7 13 17 97","0,44438,89706,134754,180268,231677,283175,337566","0.00%,1.58%,3.19%,4.79%,6.41%,8.23%,10.06%,12.00%"
"Vermont","625904","626358","626604","626249","624636","624977","624313","2 2 5 19 31 53","0,454,700,345,-1268,-927,-1591,-1564","0.00%,0.07%,0.11%,0.06%,-0.20%,-0.15%,-0.25%,-0.25%"
"Virginia","8100653","8185131","8256630","8310301","8365952","8413774","8454463","2 11 13 29753","0,84478,155977,209648,265299,313121,353810,408705","0.00%,1.04%,1.93%,2.59%,3.28%,3.87%,4.37%,5.05%"
"Washington","6819579","6899123","6985464","7073146","7169967","7294336","7404107","3 5 500831","0,79544,165885,253567,350388,474757,584528,692886","0.00%,1.17%,2.43%,3.72%,5.14%,6.96%,8.57%,10.16%"
"West Virginia","1853619","1853881","1851420","1846092","1836843","1829054","1817305","2 211 4283","0,262,-2199,-7527,-16776,-24565,-36314,-46193","0.00%,0.01%,-0.12%,-0.41%,-0.91%,-1.33%,-1.96%,-2.49%"
"Wisconsin","5706871","5724692","5742117","5754798","5763217","5778394","5790716","5 5 109 2131","0,17821,35246,47927,56346,71523,83845,100104","0.00%,0.31%,0.62%,0.84%,0.99%,1.25%,1.47%,1.75%"
"Wyoming","570134","575251","579679","583029","583200","581836","581024","2 2 23 71 89","0,5117,9545,12895,13066,11702,10890,11214","0.00%,0.90%,1.67%,2.26%,2.29%,2.05%,1.91%,1.97%"
"Puerto Rico","3682966","3638965","3583073","3529385","3468963","3386941","3318447","2 3 3 13 13913","0,-44001,-99893,-153581,-214003,-296025,-364519,-427324","0.00%,-1.19%,-2.71%,-4.17%,-5.81%,-8.04%,-9.90%,-11.60%"
